+-------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+-------------+-----------+--------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)  | AVG(BODY) | METHOD |                                                                                                           URI                                                                                                            |
|     2 | 0.414 | 0.908 |   1.322 | 0.661 | 0.414 | 0.414 | 0.414 |  0.247 |  3779.000 |  3779.000 |    7558.000 |  3779.000 | GET    | /keyword/%E6%B2%BC%E8%90%BD%E6%82%AA%E6%B0%B4%E8%B7%AF                                                                                                                                                                   |
|     1 | 1.321 | 1.321 |   1.321 | 1.321 | 1.321 | 1.321 | 1.321 |  0.000 | 54074.000 | 54074.000 |   54074.000 | 54074.000 | GET    | /?page=46                                                                                                                                                                                                                |
|     1 | 1.306 | 1.306 |   1.306 | 1.306 | 1.306 | 1.306 | 1.306 |  0.000 |  7523.000 |  7523.000 |    7523.000 |  7523.000 | GET    | /keyword/%E6%B2%B3%E7%AB%AF%E9%BE%8D                                                                                                                                                                                     |
|     1 | 1.301 | 1.301 |   1.301 | 1.301 | 1.301 | 1.301 | 1.301 |  0.000 |  3254.000 |  3254.000 |    3254.000 |  3254.000 | GET    | /keyword/658%E5%B9%B4                                                                                                                                                                                                    |
|     1 | 1.269 | 1.269 |   1.269 | 1.269 | 1.269 | 1.269 | 1.269 |  0.000 |  3644.000 |  3644.000 |    3644.000 |  3644.000 | GET    | /keyword/852%E5%B9%B4                                                                                                                                                                                                    |
|     1 | 1.269 | 1.269 |   1.269 | 1.269 | 1.269 | 1.269 | 1.269 |  0.000 | 46658.000 | 46658.000 |   46658.000 | 46658.000 | GET    | /?page=16                                                                                                                                                                                                                |
|     1 | 1.262 | 1.262 |   1.262 | 1.262 | 1.262 | 1.262 | 1.262 |  0.000 |  2984.000 |  2984.000 |    2984.000 |  2984.000 | GET    | /keyword/%E3%82%A8%E3%82%BF%E3%83%BC%E3%83%8B%E3%83%86%E3%82%A3%20%28%E8%8A%B8%E8%83%BD%E3%83%97%E3%83%AD%E3%83%80%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%29                                                                |
|     1 | 1.259 | 1.259 |   1.259 | 1.259 | 1.259 | 1.259 | 1.259 |  0.000 | 56800.000 | 56800.000 |   56800.000 | 56800.000 | GET    | /?page=66                                                                                                                                                                                                                |
|     2 | 0.527 | 0.732 |   1.259 | 0.629 | 0.527 | 0.527 | 0.527 |  0.102 |  3779.000 |  4035.000 |    7814.000 |  3907.000 | GET    | /keyword/%E5%89%A3%E9%81%93%E6%97%A5%E6%9C%AC                                                                                                                                                                            |
|     1 | 1.237 | 1.237 |   1.237 | 1.237 | 1.237 | 1.237 | 1.237 |  0.000 | 10003.000 | 10003.000 |   10003.000 | 10003.000 | GET    | /keyword/%E5%B9%B3%E5%AD%90%E7%90%86%E6%B2%99                                                                                                                                                                            |
|     1 | 1.235 | 1.235 |   1.235 | 1.235 | 1.235 | 1.235 | 1.235 |  0.000 | 75833.000 | 75833.000 |   75833.000 | 75833.000 | GET    | /?page=70                                                                                                                                                                                                                |
|     2 | 0.442 | 0.788 |   1.230 | 0.615 | 0.442 | 0.442 | 0.442 |  0.173 |  3780.000 |  6590.000 |   10370.000 |  5185.000 | GET    | /keyword/%E5%BA%83%E5%B3%B6%E5%B8%82%E9%81%93%E6%A8%AA%E5%B7%9D%E6%B1%9F%E6%B3%A2%E7%B7%9A                                                                                                                               |
|     1 | 1.209 | 1.209 |   1.209 | 1.209 | 1.209 | 1.209 | 1.209 |  0.000 |  2440.000 |  2440.000 |    2440.000 |  2440.000 | GET    | /keyword/%E3%83%8A%E3%83%93%E3%82%B2%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0                                                                                                             |
|     2 | 0.462 | 0.745 |   1.207 | 0.604 | 0.462 | 0.462 | 0.462 |  0.141 |  7000.000 |  7006.000 |   14006.000 |  7003.000 | GET    | /keyword/%E6%BA%90%E6%BA%80%E6%94%BF                                                                                                                                                                                     |
|     1 | 1.195 | 1.195 |   1.195 | 1.195 | 1.195 | 1.195 | 1.195 |  0.000 |    25.000 |    25.000 |      25.000 |    25.000 | POST   | /stars?user=horiuchi&keyword=%E4%BA%95%E4%B8%8A%E6%95%8F%E5%A4%AB                                                                                                                                                        |
|     1 | 1.193 | 1.193 |   1.193 | 1.193 | 1.193 | 1.193 | 1.193 |  0.000 |    25.000 |    25.000 |      25.000 |    25.000 | POST   | /stars?user=takuji&keyword=%E3%83%AD%E3%83%9E%E3%83%8E%E3%82%B93%E4%B8%96%E3%82%A2%E3%83%AB%E3%82%AE%E3%83%A5%E3%83%AD%E3%82%B9                                                                                          |
|     2 | 0.357 | 0.835 |   1.192 | 0.596 | 0.357 | 0.357 | 0.357 |  0.239 |  5520.000 |  5520.000 |   11040.000 |  5520.000 | GET    | /keyword/%E5%85%B5%E5%BA%AB%E7%9C%8C%E9%81%93%E3%83%BB%E4%BA%AC%E9%83%BD%E5%BA%9C%E9%81%9363%E5%8F%B7%E5%B1%B1%E6%9D%B1%E5%A4%A7%E6%B1%9F%E7%B7%9A                                                                       |
|     1 | 1.172 | 1.172 |   1.172 | 1.172 | 1.172 | 1.172 | 1.172 |  0.000 |    25.000 |    25.000 |      25.000 |    25.000 | POST   | /stars?user=kamipo&keyword=%E5%B9%B3%E5%B0%BE%E5%B1%B1                                                                                                                                                                   |
|     1 | 1.171 | 1.171 |   1.171 | 1.171 | 1.171 | 1.171 | 1.171 |  0.000 |    25.000 |    25.000 |      25.000 |    25.000 | POST   | /stars?user=hamano&keyword=%E3%83%A6%E3%83%BC%E3%83%A9%E3%83%BB%E3%82%BE%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC                                                                                                             |
