+-------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  | METHOD |                                                                                           URI                                                                                           |
|     2 | 0.517 | 0.585 |   1.102 | 0.551 | 0.517 | 0.517 | 0.517 |  0.034 |   2847.000 |   2847.000 |     5694.000 |   2847.000 | GET    | /keyword/%E3%83%88%E3%82%A4%E3%82%BA                                                                                                                                                    |
|     2 | 0.371 | 0.729 |   1.100 | 0.550 | 0.371 | 0.371 | 0.371 |  0.179 |   2618.000 |   2618.000 |     5236.000 |   2618.000 | GET    | /keyword/%E3%83%A1%E3%82%AC%E3%83%87%E3%82%B9                                                                                                                                           |
|     1 | 1.099 | 1.099 |   1.099 | 1.099 | 1.099 | 1.099 | 1.099 |  0.000 |   2641.000 |   2641.000 |     2641.000 |   2641.000 | GET    | /keyword/602%E5%B9%B4                                                                                                                                                                   |
|     1 | 1.097 | 1.097 |   1.097 | 1.097 | 1.097 | 1.097 | 1.097 |  0.000 |   3116.000 |   3116.000 |     3116.000 |   3116.000 | GET    | /keyword/REC                                                                                                                                                                            |
|     2 | 0.350 | 0.735 |   1.085 | 0.542 | 0.350 | 0.350 | 0.350 |  0.193 |   2994.000 |   2994.000 |     5988.000 |   2994.000 | GET    | /keyword/%E4%BA%95%E4%B8%8A%E6%95%8F%E5%A4%AB                                                                                                                                           |
|     2 | 0.219 | 0.866 |   1.085 | 0.542 | 0.219 | 0.219 | 0.219 |  0.324 |   3779.000 |   3779.000 |     7558.000 |   3779.000 | GET    | /keyword/%E5%B2%A9%E6%A9%8B%E8%BE%B0%E4%B9%9F                                                                                                                                           |
|     2 | 0.284 | 0.798 |   1.082 | 0.541 | 0.284 | 0.284 | 0.284 |  0.257 |   7876.000 |   7876.000 |    15752.000 |   7876.000 | GET    | /keyword/%E5%8C%97%E6%B6%88%E9%98%B2%E7%BD%B2                                                                                                                                           |
|     2 | 0.364 | 0.712 |   1.076 | 0.538 | 0.364 | 0.364 | 0.364 |  0.174 |   4393.000 |   4393.000 |     8786.000 |   4393.000 | GET    | /keyword/G15                                                                                                                                                                            |
|     1 | 1.072 | 1.072 |   1.072 | 1.072 | 1.072 | 1.072 | 1.072 |  0.000 |   5748.000 |   5748.000 |     5748.000 |   5748.000 | GET    | /keyword/%E7%99%BD%E9%8A%80%E9%A7%85                                                                                                                                                    |
|     1 | 1.062 | 1.062 |   1.062 | 1.062 | 1.062 | 1.062 | 1.062 |  0.000 |  10572.000 |  10572.000 |    10572.000 |  10572.000 | GET    | /keyword/%E8%B1%A1%E6%BD%9F%E9%A7%85                                                                                                                                                    |
|     1 | 1.059 | 1.059 |   1.059 | 1.059 | 1.059 | 1.059 | 1.059 |  0.000 |  56566.000 |  56566.000 |    56566.000 |  56566.000 | GET    | /?page=24                                                                                                                                                                               |
|     1 | 1.057 | 1.057 |   1.057 | 1.057 | 1.057 | 1.057 | 1.057 |  0.000 |  69725.000 |  69725.000 |    69725.000 |  69725.000 | GET    | /?page=80                                                                                                                                                                               |
|     1 | 1.050 | 1.050 |   1.050 | 1.050 | 1.050 | 1.050 | 1.050 |  0.000 |  72071.000 |  72071.000 |    72071.000 |  72071.000 | GET    | /?page=70                                                                                                                                                                               |
|     1 | 1.042 | 1.042 |   1.042 | 1.042 | 1.042 | 1.042 | 1.042 |  0.000 |  78616.000 |  78616.000 |    78616.000 |  78616.000 | GET    | /?page=62                                                                                                                                                                               |
|     2 | 0.337 | 0.705 |   1.042 | 0.521 | 0.337 | 0.337 | 0.337 |  0.184 |   3779.000 |   4243.000 |     8022.000 |   4011.000 | GET    | /keyword/%E5%85%83%E5%AE%97%20%28%E9%AB%98%E9%BA%97%E7%8E%8B%29                                                                                                                         |
|     1 | 1.036 | 1.036 |   1.036 | 1.036 | 1.036 | 1.036 | 1.036 |  0.000 |     25.000 |     25.000 |       25.000 |     25.000 | POST   | /stars?user=skjm&keyword=%E5%B7%A8%E5%A4%A7%E5%9F%BA%E6%95%B0                                                                                                                           |
|     2 | 0.451 | 0.583 |   1.034 | 0.517 | 0.451 | 0.451 | 0.451 |  0.066 |   2349.000 |   2349.000 |     4698.000 |   2349.000 | GET    | /keyword/%E8%A6%B3%E9%9F%B3%E6%A9%8B                                                                                                                                                    |
|     1 | 1.017 | 1.017 |   1.017 | 1.017 | 1.017 | 1.017 | 1.017 |  0.000 |  17866.000 |  17866.000 |    17866.000 |  17866.000 | GET    | /keyword/%E5%9B%BD%E4%BC%9A%E8%AD%B0%E5%93%A1%E4%B8%80%E8%A6%A7                                                                                                                         |
|     1 | 1.012 | 1.012 |   1.012 | 1.012 | 1.012 | 1.012 | 1.012 |  0.000 |  45756.000 |  45756.000 |    45756.000 |  45756.000 | GET    | /?page=56                                                                                                                                                                               |
|     1 | 1.003 | 1.003 |   1.003 | 1.003 | 1.003 | 1.003 | 1.003 |  0.000 |   5054.000 |   5054.000 |     5054.000 |   5054.000 | GET    | /keyword/%E6%B8%8B%E8%B0%B7%E9%82%A6%E5%BD%A6                                                                                                                                           |
|     2 | 0.484 | 0.518 |   1.002 | 0.501 | 0.484 | 0.484 | 0.484 |  0.017 |   3508.000 |   3508.000 |     7016.000 |   3508.000 | GET    | /keyword/%E5%8D%97%E8%9F%B9%E8%B0%B7%E6%9D%91                                                                                                                                           |
|     1 | 0.997 | 0.997 |   0.997 | 0.997 | 0.997 | 0.997 | 0.997 |  0.000 |   8408.000 |   8408.000 |     8408.000 |   8408.000 | GET    | /keyword/%E6%A2%85%E8%BF%AB%E9%A7%85                                                                                                                                                    |
|     1 | 0.991 | 0.991 |   0.991 | 0.991 | 0.991 | 0.991 | 0.991 |  0.000 |     25.000 |     25.000 |       25.000 |     25.000 | POST   | /stars?user=ogata&keyword=G15                                                                                                                                                           |
|     2 | 0.175 | 0.815 |   0.990 | 0.495 | 0.175 | 0.175 | 0.175 |  0.320 |   3777.000 |   4423.000 |     8200.000 |   4100.000 | GET    | /keyword/%E6%99%AE%E9%96%80%E9%99%A2                                                                                                                                                    |
|     1 | 0.980 | 0.980 |   0.980 | 0.980 | 0.980 | 0.980 | 0.980 |  0.000 |     25.000 |     25.000 |       25.000 |     25.000 | POST   | /stars?user=springmt&keyword=%E5%8C%97%E6%B6%88%E9%98%B2%E7%BD%B2                                                                                                                       |
|     1 | 0.971 | 0.971 |   0.971 | 0.971 | 0.971 | 0.971 | 0.971 |  0.000 |  31271.000 |  31271.000 |    31271.000 |  31271.000 | GET    | /keyword/%E6%9D%B1%E6%9D%91%E5%B1%B1%E9%A7%85                                                                                                                                           |
|     1 | 0.969 | 0.969 |   0.969 | 0.969 | 0.969 | 0.969 | 0.969 |  0.000 |    335.000 |    335.000 |      335.000 |    335.000 | POST   | /stars?user=seagirl&keyword=%E3%83%9B%E3%83%A9%E3%83%BC%E6%BC%AB%E7%94%BB                                                                                                               |
|     1 | 0.946 | 0.946 |   0.946 | 0.946 | 0.946 | 0.946 | 0.946 |  0.000 |  16240.000 |  16240.000 |    16240.000 |  16240.000 | GET    | /keyword/%E6%9D%B1%E7%89%9F%E5%A9%81%E9%83%A1                                                                                                                                           |
